age,gender,split,final
25,M,1:23:35,2:55:24
34,M,1:27:37,2:55:33
45,M,1:23:30,2:55:37
36,W,1:27:15,2:55:26
38,M,1:27:28,2:56:03
42,M,1:23:14,2:55:30
37,M,1:24:02,2:55:39
27,M,1:20:18,2:55:48
40,W,1:24:41,2:55:34
50,M,1:24:22,2:55:41
51,M,1:24:50,2:55:42
44,M,1:21:57,2:55:52
32,M,1:26:46,2:55:44
30,M,1:24:17,2:56:16
32,W,1:27:46,2:55:40
40,W,1:24:51,2:55:49
42,M,1:28:49,2:55:56
42,M,1:22:34,2:56:03
43,M,1:23:43,2:56:11
41,M,1:27:07,2:55:51
43,M,1:23:43,2:55:59
47,M,1:24:05,2:56:07
44,M,1:23:50,2:55:57
42,M,1:23:32,2:56:14
31,M,1:24:18,2:56:09
34,M,1:26:09,2:56:41
49,M,1:27:04,2:56:00
28,W,1:26:22,2:55:55
30,M,1:29:36,2:58:49
45,M,1:24:57,2:56:16
41,M,1:26:32,2:56:09
44,M,1:24:45,2:56:12
40,M,1:25:37,2:56:22
50,M,1:25:13,2:56:28
34,M,1:23:08,2:56:53
24,M,1:22:15,2:56:11
37,W,1:27:06,2:56:05
39,M,1:28:01,2:56:11
44,M,1:23:31,2:56:24
42,M,1:27:11,2:56:35
44,M,1:21:53,2:56:16
41,M,1:26:33,2:56:21
36,M,1:27:43,2:56:17
44,M,1:23:31,2:56:26
50,M,1:24:41,2:56:15
27,M,1:24:41,2:56:48
42,M,1:23:29,2:56:40
40,M,1:27:57,2:56:38
48,M,1:25:49,2:56:22
45,M,1:26:26,2:56:26
39,M,1:26:37,2:56:29
34,M,1:27:55,2:57:01
39,M,1:26:02,2:56:29
48,M,1:26:45,2:56:35
38,M,1:26:33,2:56:42
45,M,1:25:40,2:56:46
41,M,1:22:44,2:56:50
50,M,1:23:31,2:57:10
41,M,1:23:53,2:56:30
41,M,1:25:53,2:56:44
35,M,1:27:05,2:56:55
34,M,1:24:04,2:57:52
35,M,1:24:50,2:56:49
31,M,1:24:41,2:56:40
31,M,1:26:58,2:56:53
43,M,1:24:26,2:56:39
31,M,1:24:41,2:57:16
40,M,1:27:15,2:56:49
46,M,1:25:26,2:57:16
37,M,1:27:46,2:57:06
39,M,1:23:37,2:57:30
27,M,1:25:00,2:57:11
43,M,1:26:21,2:57:31
46,M,1:25:26,2:57:46
41,W,1:27:47,2:56:47
25,M,1:22:39,2:57:01
42,W,1:27:47,2:56:47
56,M,1:26:38,2:57:08
35,M,1:26:31,2:57:17
31,M,1:20:57,2:57:06
47,M,1:22:08,2:57:45
33,M,1:26:43,2:56:58
27,M,1:28:30,2:58:07
45,M,1:27:16,2:57:25
42,M,1:27:12,2:57:37
33,M,1:27:09,2:57:31
34,M,1:22:30,2:58:26
42,M,1:22:49,2:57:03
25,M,1:29:43,2:57:04
30,M,1:25:30,2:57:20
37,M,1:27:58,2:59:16
40,M,1:27:54,2:57:10
28,W,1:24:23,2:56:59
36,M,1:23:36,2:57:03
49,M,1:27:52,2:57:10
19,M,1:27:13,2:58:28
41,M,1:25:02,2:57:06
41,M,1:28:06,2:57:10
35,M,1:27:01,2:57:14
27,M,1:20:47,2:57:30
51,M,1:26:00,2:57:09
42,M,1:28:20,2:57:07
38,M,1:27:40,2:57:28
30,M,1:26:25,2:57:19
40,M,1:26:29,2:57:16
31,M,1:25:56,2:57:13
53,M,1:25:18,2:57:12
57,M,1:24:49,2:57:16
41,M,1:26:20,2:57:25
50,M,1:27:21,2:57:12
29,M,1:24:44,2:57:47
35,M,1:23:29,2:57:15
32,M,1:27:36,2:57:47
40,M,1:26:23,2:58:00
40,M,1:26:31,2:57:40
33,W,1:27:29,2:57:37
26,M,1:27:36,2:57:42
40,M,1:26:43,2:57:43
45,M,1:20:37,2:57:21
46,M,1:26:07,2:58:23
36,M,1:25:26,2:57:23
25,M,1:26:25,2:57:36
43,M,1:27:37,2:57:46
39,M,1:26:21,2:57:50
40,M,1:25:03,2:58:05
35,M,1:28:39,2:58:30
32,M,1:28:22,2:57:44
39,M,1:25:53,2:57:41
52,M,1:26:35,2:57:36
33,M,1:24:18,3:14:33
43,M,1:25:19,2:57:43
31,M,1:18:31,2:59:53
34,M,1:26:31,2:57:49
31,M,1:23:27,2:57:38
26,M,1:21:19,2:57:33
29,W,1:24:56,2:57:35
34,M,1:28:21,2:57:40
37,M,1:29:20,2:57:32
34,M,1:27:29,2:58:07
35,M,1:27:09,2:58:00
26,M,1:28:58,2:57:45
46,M,1:24:39,2:57:45
33,M,1:26:11,2:57:52
46,M,1:25:58,2:58:09
38,M,1:24:34,2:57:47
33,W,1:27:00,3:14:46
42,M,1:26:58,2:57:48
38,M,1:24:59,2:57:47
35,M,1:26:00,2:58:48
23,W,1:26:35,2:57:37
40,M,1:23:25,2:57:53
35,M,1:27:53,2:57:43
46,M,1:24:20,2:57:43
45,M,1:27:08,2:57:57
44,M,1:26:18,2:58:26
35,M,1:26:13,2:58:06
41,M,1:29:12,2:57:52
41,M,1:25:59,2:58:19
27,M,1:27:59,2:58:10
39,M,1:25:09,2:57:58
44,M,1:27:11,2:58:06
35,M,1:27:44,2:57:57
30,W,1:25:31,2:57:50
32,M,1:28:15,2:59:10
33,M,1:33:14,3:00:49
37,M,1:24:51,2:58:22
29,M,1:33:16,3:00:49
47,M,1:27:52,2:58:18
23,M,1:24:07,2:58:34
30,M,1:33:16,3:00:50
32,M,1:30:12,2:58:02
35,M,1:29:03,2:58:08
37,M,1:23:27,2:58:27
31,M,1:30:36,3:15:49
43,M,1:26:57,2:58:22
46,M,1:28:23,2:58:19
34,M,1:28:22,2:58:13
39,M,1:25:26,2:58:10
45,M,1:26:43,2:59:00
30,W,1:28:24,2:58:21
